Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo
AAPL,2024-01-02 05:00:00,187.15,185.64,188.44,183.885
AAPL,2024-01-03 05:00:00,184.22,184.25,185.88,183.43
AAPL,2024-01-04 05:00:00,182.15,181.91,183.0872,180.88
AAPL,2024-01-05 05:00:00,181.99,181.18,182.76,180.17
AAPL,2024-01-08 05:00:00,182.085,185.56,185.6,181.5
AAPL,2024-01-09 05:00:00,183.92,185.14,185.15,182.73
AAPL,2024-01-10 05:00:00,184.35,186.19,186.4,183.92
AAPL,2024-01-11 05:00:00,186.54,185.59,187.05,183.62
AAPL,2024-01-12 05:00:00,186.06,185.92,186.74,185.19
AAPL,2024-01-16 05:00:00,182.16,183.63,184.26,180.934
AAPL,2024-01-17 05:00:00,181.27,182.68,182.93,180.3
AAPL,2024-01-18 05:00:00,186.09,188.63,189.14,185.83
AAPL,2024-01-19 05:00:00,189.33,191.56,191.95,188.82
AAPL,2024-01-22 05:00:00,192.3,193.89,195.33,192.26
AAPL,2024-01-23 05:00:00,195.02,195.18,195.75,193.8299
AAPL,2024-01-24 05:00:00,195.42,194.5,196.38,194.34
AAPL,2024-01-25 05:00:00,195.22,194.17,196.2675,193.1125
AAPL,2024-01-26 05:00:00,194.27,192.42,194.76,191.94
AAPL,2024-01-29 05:00:00,192.01,191.73,192.2,189.58
AAPL,2024-01-30 05:00:00,190.94,188.04,191.8,187.47
AAPL,2024-01-31 05:00:00,187.04,184.4,187.095,184.35
AAPL,2024-02-01 05:00:00,183.985,186.86,186.95,183.82
AAPL,2024-02-02 05:00:00,179.86,185.85,187.33,179.25
AAPL,2024-02-05 05:00:00,188.15,187.68,189.25,185.84
AAPL,2024-02-06 05:00:00,186.86,189.3,189.31,186.7695
AAPL,2024-02-07 05:00:00,190.64,189.41,191.05,188.61
AAPL,2024-02-08 05:00:00,189.385,188.32,189.535,187.35
AAPL,2024-02-09 05:00:00,188.65,188.85,189.99,188.0
AAPL,2024-02-12 05:00:00,188.415,187.15,188.67,186.79
AAPL,2024-02-13 05:00:00,185.77,185.04,186.21,183.5128
AAPL,2024-02-14 05:00:00,185.32,184.15,185.53,182.44
AAPL,2024-02-15 05:00:00,183.55,183.86,184.49,181.35
AAPL,2024-02-16 05:00:00,183.42,182.31,184.85,181.665
AAPL,2024-02-20 05:00:00,181.79,181.56,182.43,180.0
