Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo
AMZN,2024-01-02 05:00:00,151.54,149.93,152.38,148.39
AMZN,2024-01-03 05:00:00,149.2,148.47,151.05,148.33
AMZN,2024-01-04 05:00:00,145.59,144.57,147.38,144.05
AMZN,2024-01-05 05:00:00,144.69,145.24,146.59,144.53
AMZN,2024-01-08 05:00:00,146.74,149.1,149.4,146.15
AMZN,2024-01-09 05:00:00,148.33,151.37,151.71,148.21
AMZN,2024-01-10 05:00:00,152.06,153.73,154.42,151.881
AMZN,2024-01-11 05:00:00,155.04,155.18,157.17,153.12
AMZN,2024-01-12 05:00:00,155.39,154.62,156.2,154.01
AMZN,2024-01-16 05:00:00,153.53,153.16,154.99,152.15
AMZN,2024-01-17 05:00:00,151.49,151.71,152.15,149.91
AMZN,2024-01-18 05:00:00,152.77,153.5,153.775,151.82
AMZN,2024-01-19 05:00:00,153.83,155.34,155.76,152.74
AMZN,2024-01-22 05:00:00,156.89,154.78,157.05,153.9
AMZN,2024-01-23 05:00:00,154.85,156.02,156.21,153.93
AMZN,2024-01-24 05:00:00,157.8,156.87,158.51,156.48
AMZN,2024-01-25 05:00:00,156.95,157.75,158.505,154.5501
AMZN,2024-01-26 05:00:00,158.42,159.12,160.72,157.91
AMZN,2024-01-29 05:00:00,159.34,161.26,161.29,158.9
AMZN,2024-01-30 05:00:00,160.7,159.0,161.73,158.49
AMZN,2024-01-31 05:00:00,157.0,155.2,159.01,154.81
AMZN,2024-02-01 05:00:00,155.87,159.28,159.76,155.62
AMZN,2024-02-02 05:00:00,169.19,171.81,172.5,167.33
AMZN,2024-02-05 05:00:00,170.2,170.31,170.55,167.7
AMZN,2024-02-06 05:00:00,169.39,169.15,170.71,167.65
AMZN,2024-02-07 05:00:00,169.48,170.53,170.88,168.94
AMZN,2024-02-08 05:00:00,169.65,169.84,171.43,168.88
AMZN,2024-02-09 05:00:00,170.9,174.45,175.0,170.5803
AMZN,2024-02-12 05:00:00,174.8,172.34,175.39,171.54
AMZN,2024-02-13 05:00:00,167.73,168.64,170.95,165.75
AMZN,2024-02-14 05:00:00,169.21,170.98,171.21,168.28
AMZN,2024-02-15 05:00:00,170.58,169.8,171.17,167.59
AMZN,2024-02-16 05:00:00,168.74,169.51,170.42,167.17
AMZN,2024-02-20 05:00:00,167.83,167.08,168.71,165.74
AMZN,2024-02-21 05:00:00,168.94,168.59,170.23,167.14
AMZN,2024-02-22 05:00:00,173.1,174.58,174.8,171.77
AMZN,2024-02-23 05:00:00,174.28,174.99,175.75,173.7
AMZN,2024-02-26 05:00:00,175.7,174.73,176.37,174.26
AMZN,2024-02-27 05:00:00,174.075,173.54,174.62,172.86
AMZN,2024-02-28 05:00:00,172.44,173.16,174.05,172.27
AMZN,2024-02-29 05:00:00,173.01,176.76,177.22,172.85
AMZN,2024-03-01 05:00:00,176.75,178.22,178.725,176.07
AMZN,2024-03-04 05:00:00,177.53,177.58,180.14,177.49
AMZN,2024-03-05 05:00:00,176.93,174.12,176.93,173.303
AMZN,2024-03-06 05:00:00,175.54,173.51,176.46,173.26
AMZN,2024-03-07 05:00:00,174.83,176.82,177.99,173.72
AMZN,2024-03-08 05:00:00,176.44,175.35,178.785,174.33
AMZN,2024-03-11 04:00:00,174.31,171.96,174.47,171.47
AMZN,2024-03-12 04:00:00,173.5,175.39,176.76,171.98
AMZN,2024-03-13 04:00:00,175.9,176.555,177.62,175.55
AMZN,2024-03-14 04:00:00,177.69,178.75,179.53,176.465
AMZN,2024-03-15 04:00:00,176.64,174.42,177.93,173.9
AMZN,2024-03-18 04:00:00,175.8,174.48,176.69,174.28
AMZN,2024-03-19 04:00:00,174.215,175.9,176.09,173.52
AMZN,2024-03-20 04:00:00,176.14,178.15,178.53,174.64
AMZN,2024-03-21 04:00:00,179.988,178.15,181.415,178.15
AMZN,2024-03-22 04:00:00,177.752,178.87,179.255,176.75
AMZN,2024-03-25 04:00:00,178.01,179.71,180.99,177.24
AMZN,2024-03-26 04:00:00,180.15,178.3,180.45,177.95
AMZN,2024-03-27 04:00:00,179.88,179.83,180.0,177.3099
AMZN,2024-03-28 04:00:00,180.17,180.38,181.7,179.26
AMZN,2024-04-01 04:00:00,180.79,180.97,183.0,179.95
AMZN,2024-04-02 04:00:00,179.07,180.69,180.79,178.3762
AMZN,2024-04-03 04:00:00,179.9,182.41,182.87,179.8
AMZN,2024-04-04 04:00:00,184.0,180.0,185.1,180.0
AMZN,2024-04-05 04:00:00,182.38,185.07,186.27,181.97
AMZN,2024-04-08 04:00:00,186.9,185.19,187.29,184.81
AMZN,2024-04-09 04:00:00,187.24,185.67,187.34,184.2
AMZN,2024-04-10 04:00:00,182.765,185.95,186.2699,182.67
AMZN,2024-04-11 04:00:00,186.74,189.05,189.77,185.51
AMZN,2024-04-12 04:00:00,187.72,186.13,188.38,185.08
AMZN,2024-04-15 04:00:00,187.425,183.62,188.69,183.0
AMZN,2024-04-16 04:00:00,183.27,183.32,184.83,182.26
AMZN,2024-04-17 04:00:00,184.31,181.28,184.57,179.82
AMZN,2024-04-18 04:00:00,181.47,179.22,182.39,178.65
AMZN,2024-04-19 04:00:00,178.74,174.63,179.0,173.44
AMZN,2024-04-22 04:00:00,176.94,177.23,178.87,174.56
AMZN,2024-04-23 04:00:00,178.08,179.54,179.93,175.975
AMZN,2024-04-24 04:00:00,179.94,176.59,180.323,176.18
AMZN,2024-04-25 04:00:00,169.68,173.67,173.92,166.32
AMZN,2024-04-26 04:00:00,177.795,179.62,180.82,176.13
AMZN,2024-04-29 04:00:00,182.75,180.96,183.53,179.39
AMZN,2024-04-30 04:00:00,181.09,175.0,182.99,174.8
AMZN,2024-05-01 04:00:00,181.635,179.0,185.15,176.56
AMZN,2024-05-02 04:00:00,180.85,184.72,185.1,179.91
AMZN,2024-05-03 04:00:00,186.99,186.21,187.87,185.42
AMZN,2024-05-06 04:00:00,186.28,188.7,188.745,184.8
AMZN,2024-05-07 04:00:00,188.92,188.76,189.94,187.305
AMZN,2024-05-08 04:00:00,187.44,188.0,188.43,186.385
AMZN,2024-05-09 04:00:00,188.88,189.5,191.7,187.44
AMZN,2024-05-10 04:00:00,189.16,187.48,189.892,186.93
AMZN,2024-05-13 04:00:00,188.0,186.57,188.31,185.36
AMZN,2024-05-14 04:00:00,183.82,187.07,187.72,183.45
