Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo
GOOGL,2024-01-02 05:00:00,138.55,138.17,139.45,136.48
GOOGL,2024-01-03 05:00:00,137.25,138.92,139.63,137.08
GOOGL,2024-01-04 05:00:00,138.42,136.39,139.16,136.35
GOOGL,2024-01-05 05:00:00,136.745,135.73,137.1558,135.15
GOOGL,2024-01-08 05:00:00,136.29,138.84,139.01,136.26
GOOGL,2024-01-09 05:00:00,138.5,140.95,141.485,138.15
GOOGL,2024-01-10 05:00:00,141.0,142.28,143.0,140.91
GOOGL,2024-01-11 05:00:00,143.49,142.08,145.22,140.635
GOOGL,2024-01-12 05:00:00,142.67,142.65,143.195,141.82
GOOGL,2024-01-16 05:00:00,142.0,142.49,144.35,141.45
GOOGL,2024-01-17 05:00:00,141.345,141.47,141.84,138.9
GOOGL,2024-01-18 05:00:00,142.05,143.48,144.21,141.99
GOOGL,2024-01-19 05:00:00,144.74,146.38,146.45,144.38
GOOGL,2024-01-22 05:00:00,147.1,145.99,148.39,145.84
GOOGL,2024-01-23 05:00:00,145.89,147.04,147.182,145.5
GOOGL,2024-01-24 05:00:00,148.54,148.7,149.855,148.1
GOOGL,2024-01-25 05:00:00,150.065,151.87,153.05,149.54
GOOGL,2024-01-26 05:00:00,151.1,152.185,152.535,151.01
GOOGL,2024-01-29 05:00:00,152.06,153.51,153.78,151.43
GOOGL,2024-01-30 05:00:00,152.8,151.46,153.62,151.185
GOOGL,2024-01-31 05:00:00,143.62,140.1,144.0,139.87
GOOGL,2024-02-01 05:00:00,142.12,141.16,143.06,140.79
GOOGL,2024-02-02 05:00:00,139.26,142.38,142.62,136.5
GOOGL,2024-02-05 05:00:00,142.82,143.68,145.47,142.78
GOOGL,2024-02-06 05:00:00,144.65,144.1,145.36,143.19
GOOGL,2024-02-07 05:00:00,144.76,145.54,145.615,143.925
GOOGL,2024-02-08 05:00:00,145.83,145.91,146.33,145.105
GOOGL,2024-02-09 05:00:00,146.68,149.0,149.44,146.18
GOOGL,2024-02-12 05:00:00,148.42,147.53,149.335,147.37
GOOGL,2024-02-13 05:00:00,144.92,145.14,146.67,143.69
GOOGL,2024-02-14 05:00:00,146.08,145.94,146.52,144.094
GOOGL,2024-02-15 05:00:00,143.14,142.77,143.52,140.46
GOOGL,2024-02-16 05:00:00,142.99,140.52,143.19,140.14
GOOGL,2024-02-20 05:00:00,139.655,141.12,142.08,139.49
GOOGL,2024-02-21 05:00:00,141.45,142.55,142.69,140.675
GOOGL,2024-02-22 05:00:00,144.93,144.09,145.0,142.8
GOOGL,2024-02-23 05:00:00,143.67,143.96,144.68,143.43
