Simbolo,Fecha,Apertura,Cierre,Maximo,Minimo
TSLA,2024-01-02 05:00:00,250.08,248.42,251.25,244.41
TSLA,2024-01-03 05:00:00,244.98,238.45,245.68,236.32
TSLA,2024-01-04 05:00:00,239.25,237.93,242.7,237.73
TSLA,2024-01-05 05:00:00,236.86,237.49,240.1196,234.9001
TSLA,2024-01-08 05:00:00,236.14,240.45,241.25,235.3
TSLA,2024-01-09 05:00:00,238.11,234.96,238.9646,232.04
TSLA,2024-01-10 05:00:00,235.1,233.94,235.5,231.29
TSLA,2024-01-11 05:00:00,230.57,227.22,230.93,225.37
TSLA,2024-01-12 05:00:00,220.08,218.89,225.34,217.1501
TSLA,2024-01-16 05:00:00,215.1,219.91,223.49,212.18
TSLA,2024-01-17 05:00:00,214.86,215.55,215.67,212.01
TSLA,2024-01-18 05:00:00,216.88,211.88,217.45,208.74
TSLA,2024-01-19 05:00:00,209.99,212.19,213.19,207.56
TSLA,2024-01-22 05:00:00,212.26,208.8,217.8,206.27
TSLA,2024-01-23 05:00:00,211.3,209.14,215.65,207.7516
TSLA,2024-01-24 05:00:00,211.88,207.83,212.73,206.77
TSLA,2024-01-25 05:00:00,189.7,182.63,193.0,180.06
TSLA,2024-01-26 05:00:00,185.5,183.25,186.78,182.1
TSLA,2024-01-29 05:00:00,185.63,190.93,191.48,183.67
TSLA,2024-01-30 05:00:00,195.33,191.59,196.3593,190.61
TSLA,2024-01-31 05:00:00,186.995,187.29,193.97,185.8459
TSLA,2024-02-01 05:00:00,188.5,188.86,189.88,184.28
TSLA,2024-02-02 05:00:00,185.04,187.91,188.69,182.0
TSLA,2024-02-05 05:00:00,184.26,181.06,184.68,175.01
TSLA,2024-02-06 05:00:00,177.21,185.1,186.49,177.11
TSLA,2024-02-07 05:00:00,188.18,187.58,189.79,182.68
TSLA,2024-02-08 05:00:00,189.0,189.56,191.6171,185.58
TSLA,2024-02-09 05:00:00,190.18,193.57,194.12,189.48
TSLA,2024-02-12 05:00:00,192.11,188.13,194.73,187.28
TSLA,2024-02-13 05:00:00,183.99,184.02,187.26,182.1087
TSLA,2024-02-14 05:00:00,185.3,188.71,188.89,183.35
TSLA,2024-02-15 05:00:00,189.16,200.45,200.88,188.8595
TSLA,2024-02-16 05:00:00,202.06,199.95,203.17,197.4
TSLA,2024-02-20 05:00:00,196.13,193.76,198.6,189.13
TSLA,2024-02-21 05:00:00,193.36,194.77,199.44,191.95
TSLA,2024-02-22 05:00:00,194.0,197.41,198.32,191.36
TSLA,2024-02-23 05:00:00,195.31,191.97,197.57,191.5
TSLA,2024-02-26 05:00:00,192.29,199.4,201.78,192.0
TSLA,2024-02-27 05:00:00,204.04,199.73,205.6,198.26
TSLA,2024-02-28 05:00:00,200.42,202.04,205.3,198.44
TSLA,2024-02-29 05:00:00,204.18,201.88,205.28,198.4463
TSLA,2024-03-01 05:00:00,200.52,202.64,204.52,198.5
TSLA,2024-03-04 05:00:00,198.73,188.14,199.75,186.72
TSLA,2024-03-05 05:00:00,183.05,180.74,184.59,177.57
TSLA,2024-03-06 05:00:00,179.99,176.54,181.576,173.7
TSLA,2024-03-07 05:00:00,174.35,178.65,180.04,173.7
TSLA,2024-03-08 05:00:00,181.5,175.34,182.73,174.7
TSLA,2024-03-11 04:00:00,175.445,177.77,182.87,174.8
TSLA,2024-03-12 04:00:00,177.77,177.54,179.43,172.4101
TSLA,2024-03-13 04:00:00,173.05,169.48,176.05,169.15
TSLA,2024-03-14 04:00:00,167.77,162.5,171.17,160.51
TSLA,2024-03-15 04:00:00,163.16,163.57,165.1845,160.76
TSLA,2024-03-18 04:00:00,170.02,173.8,174.72,165.9
TSLA,2024-03-19 04:00:00,172.36,171.32,172.82,167.42
TSLA,2024-03-20 04:00:00,173.0,175.66,176.25,170.82
TSLA,2024-03-21 04:00:00,176.39,172.82,178.18,171.8
TSLA,2024-03-22 04:00:00,166.69,170.83,171.2,166.3
TSLA,2024-03-25 04:00:00,168.76,172.63,175.24,168.73
TSLA,2024-03-26 04:00:00,178.58,177.67,184.25,177.38
TSLA,2024-03-27 04:00:00,181.41,179.83,181.91,176.0
TSLA,2024-03-28 04:00:00,177.45,175.79,179.57,175.3
TSLA,2024-04-01 04:00:00,176.17,175.22,176.75,170.21
TSLA,2024-04-02 04:00:00,164.75,166.63,167.69,163.43
TSLA,2024-04-03 04:00:00,164.02,168.38,168.82,163.28
TSLA,2024-04-04 04:00:00,170.07,171.11,177.19,168.01
TSLA,2024-04-05 04:00:00,169.08,164.9,170.86,160.51
TSLA,2024-04-08 04:00:00,169.34,172.98,174.5,167.79
TSLA,2024-04-09 04:00:00,172.91,176.88,179.22,171.92
TSLA,2024-04-10 04:00:00,173.04,171.76,174.93,170.01
TSLA,2024-04-11 04:00:00,172.55,174.6,175.88,168.51
TSLA,2024-04-12 04:00:00,172.34,171.05,173.8099,170.3644
TSLA,2024-04-15 04:00:00,170.24,161.48,170.69,161.38
TSLA,2024-04-16 04:00:00,156.742,157.11,158.19,153.75
TSLA,2024-04-17 04:00:00,157.64,155.45,158.33,153.78
TSLA,2024-04-18 04:00:00,151.25,149.93,152.2,148.7
TSLA,2024-04-19 04:00:00,148.97,147.05,150.94,146.22
TSLA,2024-04-22 04:00:00,140.56,142.05,144.44,138.8025
TSLA,2024-04-23 04:00:00,143.33,144.68,147.26,141.11
TSLA,2024-04-24 04:00:00,162.84,162.13,167.97,157.51
TSLA,2024-04-25 04:00:00,158.96,170.18,170.88,158.36
TSLA,2024-04-26 04:00:00,168.85,168.29,172.12,166.37
TSLA,2024-04-29 04:00:00,188.42,194.05,198.87,184.54
TSLA,2024-04-30 04:00:00,186.98,183.28,190.95,182.8401
TSLA,2024-05-01 04:00:00,182.0,179.99,185.86,179.01
TSLA,2024-05-02 04:00:00,182.86,180.01,184.6,176.02
TSLA,2024-05-03 04:00:00,182.1,181.19,184.78,178.42
TSLA,2024-05-06 04:00:00,183.8,184.76,187.56,182.2
TSLA,2024-05-07 04:00:00,182.4,177.81,183.26,177.4
TSLA,2024-05-08 04:00:00,171.59,174.72,176.06,170.15
TSLA,2024-05-09 04:00:00,175.01,171.97,175.62,171.37
TSLA,2024-05-10 04:00:00,173.05,168.47,173.0599,167.75
TSLA,2024-05-13 04:00:00,170.0,171.89,175.4,169.0
TSLA,2024-05-14 04:00:00,174.4959,177.55,179.49,174.07
TSLA,2024-05-15 04:00:00,179.9,173.99,180.0,173.11
TSLA,2024-05-16 04:00:00,174.1,174.84,175.79,171.43
TSLA,2024-05-17 04:00:00,173.55,177.46,179.63,172.75
TSLA,2024-05-20 04:00:00,177.56,174.95,177.754,173.52
TSLA,2024-05-21 04:00:00,175.51,186.6,186.875,174.71
TSLA,2024-05-22 04:00:00,182.85,180.11,183.8,178.12
TSLA,2024-05-23 04:00:00,181.8,173.74,181.9,173.26
TSLA,2024-05-24 04:00:00,174.835,179.24,180.08,173.73
TSLA,2024-05-28 04:00:00,176.4,176.75,178.25,173.16
TSLA,2024-05-29 04:00:00,174.19,176.19,178.15,173.93
TSLA,2024-05-30 04:00:00,178.575,178.79,182.67,175.38
TSLA,2024-05-31 04:00:00,178.5,178.08,180.32,173.82
TSLA,2024-06-03 04:00:00,178.13,176.29,182.6389,174.49
TSLA,2024-06-04 04:00:00,174.775,174.77,177.755,174.0
TSLA,2024-06-05 04:00:00,175.35,175.0,176.15,172.13
TSLA,2024-06-06 04:00:00,174.6,177.94,179.73,172.73
TSLA,2024-06-07 04:00:00,176.13,177.48,179.35,175.58
TSLA,2024-06-10 04:00:00,176.06,173.79,178.57,173.17
TSLA,2024-06-11 04:00:00,173.92,170.66,174.75,167.41
TSLA,2024-06-12 04:00:00,171.12,177.29,180.55,169.8
TSLA,2024-06-13 04:00:00,188.39,182.47,191.08,181.23
TSLA,2024-06-14 04:00:00,185.8,178.01,186.0,176.92
TSLA,2024-06-17 04:00:00,177.92,187.44,188.81,177.0
TSLA,2024-06-18 04:00:00,186.56,184.86,187.2,182.37
TSLA,2024-06-20 04:00:00,184.68,181.57,185.21,179.66
TSLA,2024-06-21 04:00:00,182.3,183.01,183.95,180.69
TSLA,2024-06-24 04:00:00,184.97,182.58,188.8,182.55
TSLA,2024-06-25 04:00:00,184.4,187.35,187.97,182.01
TSLA,2024-06-26 04:00:00,186.54,196.37,197.755,186.36
TSLA,2024-06-27 04:00:00,195.17,197.42,198.72,194.05
TSLA,2024-06-28 04:00:00,199.55,197.88,203.2,195.26
TSLA,2024-07-01 04:00:00,201.02,209.86,213.23,200.85
TSLA,2024-07-02 04:00:00,218.89,231.26,231.3,218.06
TSLA,2024-07-03 04:00:00,234.56,246.39,248.35,234.25
TSLA,2024-07-05 04:00:00,249.81,251.52,252.37,242.4601
TSLA,2024-07-08 04:00:00,247.71,252.94,259.439,244.57
TSLA,2024-07-09 04:00:00,251.0,262.33,265.61,250.3
TSLA,2024-07-10 04:00:00,262.8,263.26,267.59,257.86
TSLA,2024-07-11 04:00:00,263.3,241.03,271.0,239.65
TSLA,2024-07-12 04:00:00,235.8,248.23,251.84,233.0912
TSLA,2024-07-15 04:00:00,255.97,252.64,265.6,251.73
TSLA,2024-07-16 04:00:00,255.31,256.56,258.62,245.8001
TSLA,2024-07-17 04:00:00,252.73,248.5,258.47,246.182
TSLA,2024-07-18 04:00:00,251.09,249.23,257.14,247.2
TSLA,2024-07-19 04:00:00,247.79,239.2,249.01,236.83
TSLA,2024-07-22 04:00:00,244.21,251.51,253.21,243.75
TSLA,2024-07-23 04:00:00,253.6,246.38,255.7594,245.63
TSLA,2024-07-24 04:00:00,225.42,215.99,225.99,214.71
TSLA,2024-07-25 04:00:00,216.8,220.25,226.0,216.231
TSLA,2024-07-26 04:00:00,221.19,219.8,222.2799,215.33
TSLA,2024-07-29 04:00:00,224.9,232.1,234.27,224.7
TSLA,2024-07-30 04:00:00,232.25,222.62,232.41,220.0
TSLA,2024-07-31 04:00:00,227.9,232.07,234.68,226.7875
TSLA,2024-08-01 04:00:00,227.69,216.86,231.867,214.3328
TSLA,2024-08-02 04:00:00,214.88,207.67,216.13,205.78
TSLA,2024-08-05 04:00:00,185.22,198.88,203.8799,182.0
TSLA,2024-08-06 04:00:00,200.75,200.64,202.9,192.67
TSLA,2024-08-07 04:00:00,200.77,191.76,203.49,191.48
TSLA,2024-08-08 04:00:00,195.7,198.84,200.7,192.04
TSLA,2024-08-09 04:00:00,197.05,200.0,200.88,195.11
TSLA,2024-08-12 04:00:00,199.02,197.49,199.26,194.67
TSLA,2024-08-13 04:00:00,198.47,207.83,208.49,197.06
TSLA,2024-08-14 04:00:00,207.39,201.38,208.44,198.75
TSLA,2024-08-15 04:00:00,205.02,214.14,215.88,204.82
TSLA,2024-08-16 04:00:00,211.15,216.12,219.8,210.8
TSLA,2024-08-19 04:00:00,217.07,222.72,222.98,214.09
TSLA,2024-08-20 04:00:00,224.88,221.1,228.22,219.56
TSLA,2024-08-21 04:00:00,222.67,223.27,224.6594,218.86
TSLA,2024-08-22 04:00:00,223.82,210.66,224.8,210.32
TSLA,2024-08-23 04:00:00,214.455,220.32,221.48,214.21
TSLA,2024-08-26 04:00:00,218.75,213.21,219.09,211.01
TSLA,2024-08-27 04:00:00,213.25,209.21,215.66,206.94
TSLA,2024-08-28 04:00:00,209.72,205.75,211.84,202.59
TSLA,2024-08-29 04:00:00,209.8,206.28,214.89,205.97
TSLA,2024-08-30 04:00:00,208.63,214.11,214.5701,207.03
TSLA,2024-09-03 04:00:00,215.26,210.6,219.9043,209.64
TSLA,2024-09-04 04:00:00,210.59,219.41,222.22,210.57
TSLA,2024-09-05 04:00:00,223.49,230.17,235.0,222.25
TSLA,2024-09-06 04:00:00,232.6,210.73,233.6,210.51
TSLA,2024-09-09 04:00:00,216.2,216.27,219.87,213.67
TSLA,2024-09-10 04:00:00,220.07,226.17,226.4,218.6377
TSLA,2024-09-11 04:00:00,224.55,228.13,228.47,216.8003
TSLA,2024-09-12 04:00:00,224.66,229.81,231.45,223.83
TSLA,2024-09-13 04:00:00,228.0,230.29,232.67,226.32
TSLA,2024-09-16 04:00:00,229.3,226.78,229.96,223.53
TSLA,2024-09-17 04:00:00,229.45,227.87,234.57,226.5533
TSLA,2024-09-18 04:00:00,230.09,227.2,235.68,226.88
TSLA,2024-09-19 04:00:00,234.0,243.92,244.24,232.13
TSLA,2024-09-20 04:00:00,241.52,238.25,243.99,235.92
TSLA,2024-09-23 04:00:00,242.61,250.0,250.0,241.92
TSLA,2024-09-24 04:00:00,254.08,254.27,257.19,249.0501
TSLA,2024-09-25 04:00:00,252.54,257.02,257.05,252.28
TSLA,2024-09-26 04:00:00,260.6,254.22,261.75,251.53
TSLA,2024-09-27 04:00:00,257.375,260.46,260.6999,254.12
TSLA,2024-09-30 04:00:00,259.04,261.63,264.86,255.77
TSLA,2024-10-01 04:00:00,262.67,258.02,263.98,248.53
TSLA,2024-10-02 04:00:00,247.55,249.02,251.1585,241.5
TSLA,2024-10-03 04:00:00,244.48,240.66,249.79,237.81
TSLA,2024-10-04 04:00:00,246.69,250.08,250.96,244.58
TSLA,2024-10-07 04:00:00,249.0,240.83,249.83,240.7
TSLA,2024-10-08 04:00:00,243.56,244.5,246.21,240.56
TSLA,2024-10-09 04:00:00,243.82,241.05,247.43,239.51
TSLA,2024-10-10 04:00:00,241.81,238.77,242.7899,232.34
TSLA,2024-10-11 04:00:00,220.13,217.8,223.34,214.38
TSLA,2024-10-14 04:00:00,220.13,219.16,221.91,213.74
TSLA,2024-10-15 04:00:00,220.01,219.57,224.26,217.12
TSLA,2024-10-16 04:00:00,221.4,221.33,222.8199,218.93
TSLA,2024-10-17 04:00:00,221.59,220.89,222.08,217.9
TSLA,2024-10-18 04:00:00,220.71,220.7,222.28,219.23
TSLA,2024-10-21 04:00:00,218.9,218.85,220.48,215.726
TSLA,2024-10-22 04:00:00,217.31,217.97,218.22,215.26
TSLA,2024-10-23 04:00:00,217.125,213.65,218.72,212.11
TSLA,2024-10-24 04:00:00,244.68,260.48,262.1199,242.65
TSLA,2024-10-25 04:00:00,256.01,269.19,269.49,255.32
TSLA,2024-10-28 04:00:00,270.0,262.51,273.536,262.24
TSLA,2024-10-29 04:00:00,264.51,259.52,264.98,255.51
TSLA,2024-10-30 04:00:00,258.035,257.55,263.35,255.8201
TSLA,2024-10-31 04:00:00,257.99,249.85,259.75,249.25
TSLA,2024-11-01 04:00:00,252.043,248.98,254.0,246.63
TSLA,2024-11-04 05:00:00,244.56,242.84,248.9,238.88
TSLA,2024-11-05 05:00:00,247.34,251.44,255.2799,246.2101
TSLA,2024-11-06 05:00:00,284.67,288.53,289.59,275.62
TSLA,2024-11-07 05:00:00,288.89,296.91,299.75,285.52
TSLA,2024-11-08 05:00:00,299.14,321.22,328.71,297.66
TSLA,2024-11-11 05:00:00,346.3,350.0,358.64,336.0
TSLA,2024-11-12 05:00:00,342.74,328.49,345.84,323.31
TSLA,2024-11-13 05:00:00,335.85,330.24,344.5999,322.5
TSLA,2024-11-14 05:00:00,327.69,311.18,329.98,310.37
TSLA,2024-11-15 05:00:00,310.57,320.72,324.6799,309.22
TSLA,2024-11-18 05:00:00,340.73,338.74,348.5499,330.01
TSLA,2024-11-19 05:00:00,335.76,346.0,347.3799,332.75
TSLA,2024-11-20 05:00:00,345.0,342.03,346.5999,334.3
TSLA,2024-11-21 05:00:00,343.81,339.64,347.9899,335.28
